fips,county_name,year,total_pop,median_income,poverty_rate,share_nh_white,share_nh_black,share_hispanic,share_nonwhite,high_poverty,low_income,high_nonwhite,high_black,high_hispanic
12001,"Alachua County, Florida",2014,251759,42045,0.25362067946325273,0.6299794644878633,0.1979512152495045,0.08766717376538674,0.37002053551213665,1,1,1,1,1
12003,"Baker County, Florida",2014,27057,46865,0.18625113066359675,0.8221901910780944,0.1420704438777396,0.022101489448201943,0.17780980892190557,1,0,0,1,0
12005,"Bay County, Florida",2014,172988,47274,0.14751845013008005,0.7838404976067704,0.10120933243924433,0.05242560177584572,0.21615950239322956,0,0,0,0,0
12007,"Bradford County, Florida",2014,27552,40481,0.19296773381445895,0.742777293844367,0.19679152148664344,0.037347560975609755,0.25722270615563303,1,1,0,1,0
12009,"Brevard County, Florida",2014,548891,48483,0.14043335492909392,0.7656110229535554,0.09831460162400185,0.08757658624389907,0.23438897704644457,0,0,0,0,1
12011,"Broward County, Florida",2014,1815269,51574,0.1463498234255935,0.41356680469946877,0.2657617135531979,0.26446769046350704,0.5864331953005313,0,0,1,1,1
12013,"Calhoun County, Florida",2014,14657,34053,0.22452559400414607,0.7732823906665757,0.1328375520229242,0.055195469741420485,0.22671760933342433,1,1,0,1,0
12015,"Charlotte County, Florida",2014,163151,44265,0.12729809894497077,0.851039834263964,0.05639560897573414,0.06305201929500892,0.148960165736036,0,0,0,0,0
12017,"Citrus County, Florida",2014,139771,38109,0.17339986285580894,0.8910288972676735,0.02858246703536499,0.04935930915569038,0.10897110273232646,0,1,0,0,0
12019,"Clay County, Florida",2014,194868,59103,0.10535742942781266,0.7572561939364082,0.09362234948785844,0.08479586181415112,0.2427438060635918,0,0,0,0,0
12021,"Collier County, Florida",2014,334474,56250,0.14356846723615754,0.648077279549382,0.06561646047226391,0.2633807112062522,0.351922720450618,0,0,1,0,1
12023,"Columbia County, Florida",2014,67662,39194,0.1996515955340882,0.7373710502202122,0.17658360675120452,0.052067630279920785,0.2626289497797878,1,1,0,1,0
12027,"DeSoto County, Florida",2014,34785,36114,0.305037027969888,0.5549230990369413,0.12709501221791003,0.30257294810981744,0.44507690096305874,1,1,1,1,1
12029,"Dixie County, Florida",2014,16137,35000,0.18890016920473773,0.8580281341017537,0.09673421329863048,0.02336245894528103,0.14197186589824629,1,1,0,0,0
12031,"Duval County, Florida",2014,880750,47582,0.17448378248812837,0.5563735452739142,0.29017201248935565,0.08122622764689186,0.44362645472608575,0,0,1,1,0
12033,"Escambia County, Florida",2014,304099,44883,0.1711036798725805,0.6581244923528193,0.2175969010092108,0.05123660386913472,0.34187550764718067,0,0,1,1,0
12035,"Flagler County, Florida",2014,98843,47733,0.1644120283595469,0.7540038242465323,0.1073115951559544,0.09279362220895764,0.24599617575346766,0,0,0,0,1
12037,"Franklin County, Florida",2014,11636,37815,0.22953351869014518,0.7876418013062908,0.14773117909934685,0.048470264695771745,0.2123581986937092,1,1,0,1,0
12039,"Gadsden County, Florida",2014,46865,36146,0.2721308528803811,0.3327643230555852,0.5481916142110317,0.10139763149471888,0.6672356769444148,1,1,1,1,1
12041,"Gilchrist County, Florida",2014,16948,40984,0.24923605805958748,0.8748524899693179,0.060715128628746756,0.05044843049327354,0.12514751003068214,1,1,0,0,0
12043,"Glades County, Florida",2014,13190,33609,0.24292691141798586,0.609628506444276,0.122289613343442,0.21357088703563307,0.390371493555724,1,1,1,1,1
12045,"Gulf County, Florida",2014,15781,40964,0.16384097134818984,0.7396869653380648,0.1826880425828528,0.046194791204613145,0.2603130346619352,0,1,0,1,0
12047,"Hamilton County, Florida",2014,14466,35629,0.28550880978065446,0.5506705378128024,0.3277339969583852,0.09111018940965021,0.4493294621871976,1,1,1,1,1
12049,"Hardee County, Florida",2014,27549,36094,0.30759060507077307,0.47664162038549496,0.06835093832806999,0.4295981705325057,0.523358379614505,1,1,1,0,1
12051,"Hendry County, Florida",2014,38360,36504,0.26837315443622667,0.3417361835245047,0.1191866527632951,0.49966110531803964,0.6582638164754953,1,1,1,1,1
12053,"Hernando County, Florida",2014,173792,40457,0.16029404884439039,0.8105781624010311,0.04991023752531762,0.10938938501196833,0.1894218375989689,0,1,0,0,1
12055,"Highlands County, Florida",2014,98261,35911,0.1918764042627749,0.6959831469250262,0.09172509947995644,0.1799086107407822,0.30401685307497384,1,1,1,0,1
12057,"Hillsborough County, Florida",2014,1279668,50122,0.17156653782922807,0.5235725203724716,0.15668517146634908,0.2569572732927603,0.4764274796275284,0,0,1,1,1
12059,"Holmes County, Florida",2014,19741,36236,0.26597124330420074,0.877969707714908,0.06863887341066816,0.02598652550529355,0.12203029228509199,1,1,0,0,0
12061,"Indian River County, Florida",2014,140918,44645,0.15382628350016145,0.7672263302062192,0.08760413857704481,0.11593976638896379,0.23277366979378078,0,0,0,0,1
12063,"Jackson County, Florida",2014,49105,36310,0.2129124542390962,0.6591589451176051,0.2615008654923124,0.04571835861928521,0.3408410548823949,1,1,1,1,0
12065,"Jefferson County, Florida",2014,14335,42866,0.1708741057478826,0.5703522846180676,0.3634461109173352,0.03955354028601325,0.42964771538193236,0,1,1,1,0
12067,"Lafayette County, Florida",2014,8821,35720,0.23468968351829017,0.6956127423194649,0.16812152817140913,0.12969051127990025,0.3043872576805351,1,1,1,1,1
12069,"Lake County, Florida",2014,305010,45465,0.14340687276316183,0.7287629913773319,0.09484279203960526,0.13036949608209566,0.2712370086226681,0,0,1,0,1
12071,"Lee County, Florida",2014,647554,47908,0.1604513075308886,0.698862179833651,0.08173681268280329,0.1896552256645778,0.30113782016634905,0,0,1,0,1
12073,"Leon County, Florida",2014,280882,46620,0.23728870530412244,0.5810589500217173,0.30610719092003047,0.059644263427346716,0.41894104997828274,1,0,1,1,0
12075,"Levy County, Florida",2014,40057,35483,0.23964753221616666,0.8032054322590308,0.09139476246348953,0.07793893701475398,0.19679456774096915,1,1,0,0,0
12077,"Liberty County, Florida",2014,8302,38990,0.20053715308863027,0.7381353890628765,0.1681522524692845,0.059142375331245486,0.26186461093712354,1,1,0,1,0
12079,"Madison County, Florida",2014,18901,33520,0.22180428682309392,0.546055764245278,0.3806147822866515,0.04856885879054018,0.453944235754722,1,1,1,1,0
12081,"Manatee County, Florida",2014,335840,49228,0.1487767971255637,0.7258426631729394,0.08681217246307765,0.15300142925202478,0.27415733682706056,0,0,1,0,1
12083,"Marion County, Florida",2014,334771,39339,0.18286403417250732,0.7285368206923539,0.12213722216082039,0.11483670927290596,0.2714631793076461,1,1,1,1,1
12085,"Martin County, Florida",2014,149658,51703,0.12047962807692046,0.7961619158347699,0.05364230445415547,0.12622111748119044,0.20383808416523008,0,0,0,0,1
12086,"Miami-Dade County, Florida",2014,2600861,43099,0.20505659388680442,0.15356260868996843,0.16994141555431067,0.652157497075007,0.8464373913100316,1,0,1,1,1
12087,"Monroe County, Florida",2014,75208,55449,0.13897182563378752,0.695604191043506,0.06006009998936283,0.21681204127220507,0.304395808956494,0,0,1,0,1
12089,"Nassau County, Florida",2014,74918,55256,0.12572410806128526,0.8733415200619343,0.06551162604447529,0.03597266344536693,0.12665847993806567,0,0,0,0,0
12091,"Okaloosa County, Florida",2014,188984,55768,0.13746375073588732,0.7557782669432332,0.08889641451128137,0.07817593023748041,0.24422173305676675,0,0,0,0,0
12093,"Okeechobee County, Florida",2014,39398,35490,0.2791100123609394,0.6436874968272501,0.0844966749581197,0.24643382912838216,0.3563125031727499,1,1,1,0,1
12095,"Orange County, Florida",2014,1200241,47556,0.17752992843506965,0.44300019746034336,0.19739202376855983,0.2815026315548294,0.5569998025396566,1,0,1,1,1
12097,"Osceola County, Florida",2014,289449,44551,0.18314811326677968,0.37746891507657654,0.09431367874824235,0.4785368061385598,0.6225310849234235,1,0,1,0,1
12099,"Palm Beach County, Florida",2014,1359074,52878,0.14558954838103294,0.5837364264197534,0.17271760036613165,0.1997860307827241,0.41626357358024657,0,0,1,1,1
12101,"Pasco County, Florida",2014,472745,44518,0.142853456673053,0.7847486488487451,0.04481274259907561,0.1263175707834033,0.21525135115125493,0,0,0,0,1
12103,"Pinellas County, Florida",2014,925030,45574,0.14347542799254165,0.7592813206058182,0.10146806049533529,0.08464374128406646,0.2407186793941818,0,0,0,0,0
12105,"Polk County, Florida",2014,617323,43063,0.1845031923350765,0.6319738613335321,0.1459819251834129,0.18640484802931367,0.36802613866646794,1,1,1,1,1
12107,"Putnam County, Florida",2014,73191,32714,0.2652321251760637,0.7199382437731415,0.15768332171988358,0.09356341626702737,0.28006175622685847,1,1,1,1,1
12109,"St. Johns County, Florida",2014,203402,65575,0.09702034522210615,0.8458422237736108,0.05298374647250273,0.057172495845665236,0.15415777622638915,0,0,0,0,0
12111,"St. Lucie County, Florida",2014,283988,42665,0.18359038597040633,0.6014373846782258,0.18776849726044761,0.17114455540374945,0.39856261532177417,1,1,1,1,1
12113,"Santa Rosa County, Florida",2014,158240,58199,0.12206330322007086,0.8349785136501516,0.052148634984833166,0.0483695652173913,0.16502148634984837,0,0,0,0,0
12115,"Sarasota County, Florida",2014,386944,50304,0.11818553694953299,0.8402662917631492,0.04392883724776712,0.08373821534899106,0.15973370823685085,0,0,0,0,0
12117,"Seminole County, Florida",2014,432135,57875,0.11617342913299439,0.6479688060444074,0.10700822659585546,0.18262117162460806,0.35203119395559257,0,0,1,0,1
12119,"Sumter County, Florida",2014,103708,49874,0.10937715199864391,0.837611370386084,0.0851139738496548,0.058095807459405256,0.16238862961391598,0,0,0,0,0
