county_clean,year,fips_code,county,year_month,cust_hours_out,max_customers_out,n_intervals,mcc,has_mcc,max_pct_out,n_new,stock,stock_total,pre2014_stock,n_unknown,stock_capacity_mw,stock_area_sqft,cum_capacity_mw,cum_area_sqft
ALACHUA,2018,12001,Alachua,2018-04,55783.25,3075,2471,218548,1,0.0140701356223804,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-05,39487.75,7589,2382,218548,1,0.0347246371506488,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-06,24603.5,2057,2022,218548,1,0.00941211999194685,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-07,40603.75,6931,1970,218548,1,0.0317138569101525,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-08,51677,5089,2210,218548,1,0.023285502498307,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-09,14543,1626,2378,218548,1,0.00744001317788312,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-10,13126.25,2182,1466,218548,1,0.00998407672456394,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-11,14914.75,1766,1223,218548,1,0.00808060471841426,0,0,0,0,0,0,0,0,0
ALACHUA,2018,12001,Alachua,2018-12,30058.25,1848,2228,218548,1,0.00845580833501107,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-01,29661.25,4064,1990,218548,1,0.0185954572908469,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-02,11463.25,3508,1045,218548,1,0.016051393744166,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-03,11232.5,2748,1208,218548,1,0.0125738968098541,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-04,133255.75,12350,2083,218548,1,0.0565093251825686,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-05,18219.75,2613,1234,218548,1,0.0119561835386277,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-06,18940.25,2500,1381,218548,1,0.0114391346523418,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-07,27763.25,5199,1598,218548,1,0.02378882442301,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-08,25228.5,1674,1526,218548,1,0.00765964456320808,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-09,10302.25,1686,938,218548,1,0.00771455240953932,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-10,6586.75,1514,927,218548,1,0.00692753994545821,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-11,9063.25,1838,708,218548,1,0.00841005179640171,0,0,0,0,0,0,0,0,0
ALACHUA,2019,12001,Alachua,2019-12,13422.75,1967,854,218548,1,0.00900031114446254,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-01,6828,1483,1129,218548,1,0.00678569467576917,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-02,129465.25,9526,1148,218548,1,0.0435876786792833,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-03,9414.5,1872,1123,218548,1,0.00856562402767356,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-04,38131.25,4898,1172,218548,1,0.0224115526108681,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-05,20945.5,7119,1630,218548,1,0.0325740798360086,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-06,20936,2389,1964,218548,1,0.0109312370737778,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-07,24785.75,1830,1499,218548,1,0.00837344656551421,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-08,24782.75,1939,1767,218548,1,0.00887219283635632,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-09,29905.5,6502,1651,218548,1,0.0297509014038106,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-10,32898,9856,1491,218548,1,0.0450976444533924,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-11,25769.5,3677,1139,218548,1,0.0168246792466643,0,0,0,0,0,0,0,0,0
ALACHUA,2020,12001,Alachua,2020-12,127136,21028,1132,218548,1,0.0962168493877775,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-01,16941.75,4232,916,218548,1,0.0193641671394842,0,0,0,0,0,0,0,0,0
ALACHUA,2021,12001,Alachua,2021-02,23075.75,6309,1036,218548,1,0.0288678002086498,0,0,0,0,0,0,0,0,0
